ID,debateDate,debatePeriod,debateConference,debateSitting,debateVideoLink,debateSittingLink,fileLocalName,fileLocalPath,fileLocalSize,fileLocalExists,fileLocalDowDate,fileRemote,fileRemotePDF
1,1670796000000,ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Δ' Σύνοδος,ΜΓ',,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=13855c09-42ee-417e-aa7b-af6901850622,20221212001520.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,1769031,1,1670933814217,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221212001520.docx,
2,1670536800000,ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Δ' Σύνοδος,ΜΒ',https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#aab6b513-6272-40ff-badd-af6700e9d9c3,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=b634d784-f42e-447a-bd87-af66015073f4,20221209001518.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,1280278,1,1670933814214,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221209001518.docx,
3,1670450400000,ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Δ' Σύνοδος,ΜΑ',https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#e1f08ff9-9235-451d-8dc3-af6600cf1c37,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=738b371f-cb4a-4a48-9134-af660028ebb0,20221208001519.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,491542,1,1670933814211,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221208001519.docx,
4,1670364000000,ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Δ' Σύνοδος,Μ',https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#a90b3760-eca3-46af-b76e-af6401182313,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=56dc7276-aebe-4ba7-ae8d-af640126a1f9,20221207001516_1.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,246950,1,1670933814208,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221207001516_1.docx,
5,1670277600000,ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Δ' Σύνοδος,ΛΘ',https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#423710cc-edda-422a-8648-af6301528662,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=b8f10ab5-aaca-45dd-b3bf-af630132f265,20221206001515_1.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,269809,1,1670933814205,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221206001515_1.docx,
6,1670191200000,ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Δ' Σύνοδος,ΛΗ',https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#16e9632d-b4ec-401c-bbec-af6300b0e1aa,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=9c6b3ded-d8cb-4046-b850-af62012294eb,20221205001514_1.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,115111,1,1670933814202,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221205001514_1.docx,
7,1669932000000,ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Δ' Σύνοδος,ΛΖ',https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#9d5edb43-f0a0-4e51-9122-af5f00fea7b4,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=b62c61e2-fa47-4ff6-8bd1-af5f01134164,20221202001513_1.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,290111,1,1670933814199,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221202001513_1.docx,
8,1669845600000,ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Δ' Σύνοδος,ΛΣΤ',https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#72fb0b6f-f27d-40b2-89c9-af5f00b66034,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=2858e891-df96-4041-8697-af5f0011b126,20221201001512_1.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,546636,1,1670933814195,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221201001512_1.docx,
9,1669759200000,ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Δ' Σύνοδος,ΛΕ',https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#0f581ad1-1520-4409-971d-af5d00b5bcbf,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=4c70c0ff-587e-474e-8ce3-af5d00b0b765,20221130001511_1.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,35475,1,1670933814192,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221130001511_1.docx,
10,1669672800000,ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Δ' Σύνοδος,ΛΔ',https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#2365b39d-7429-4c4e-9464-af5c00fc533c,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=c3ac4e21-8446-4187-8638-af5c00ff25ba,20221129001510_1.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,149509,1,1670933814189,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221129001510_1.docx,
